Departamento,Municipio,Año,Área Cosechada,Área Sembrada,Producción,Rendimiento,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año),altitud_media_m
HUILA,AGRADO,2018,1098.93,1331.96,1231.29,1.1204444323114302,3169.9300149679184,21.979239,23.170319,20.568512,81.27935,6189.180932,0.4575386,0.46531805,1600.9491988420486,963.7448956943672
HUILA,AGRADO,2007,798.99,881.5,1118.59,1.4000050063204794,2588.773133993149,21.945322,24.660797,20.187897,80.277084,6445.843376,0.4510695,0.45745277,1709.5625067949295,963.7448956943672
HUILA,AGRADO,2020,977.0,1253.0,1465.5,1.5,2168.8725185990334,22.344004,24.737701,20.836578,77.969,6524.802138999999,0.44415537,0.44937515,1828.840628862381,963.7448956943672
HUILA,AGRADO,2008,723.7,878.37,1049.39,1.450034544700843,2977.8014159202576,21.357615,22.154694,20.280182,84.22457,6363.464131,0.4630197,0.47002473,1613.104906082153,963.7448956943672
HUILA,AGRADO,2019,903.43,1333.5,1282.87,1.4199993358644278,3105.9062844514847,22.301239,23.499176,20.90152,80.601845,6259.462036,0.45195135,0.45505205,1655.375273346901,963.7448956943672
HUILA,AGRADO,2021,1047.26,1287.53,1330.02,1.269999809025457,3499.859472513199,21.383698,23.018707,20.027008,83.96296,6101.1225460000005,0.46038118,0.4698232,1561.4750300645828,963.7448956943672
HUILA,AGRADO,2022,1048.74,1308.42,1230.62,1.1734271602113011,2862.4225182533264,21.184845,21.97403,20.24405,83.88207,6182.818775,0.4596049,0.46770158,1588.2767540216446,963.7448956943672
HUILA,AGRADO,2016,1118.35,1303.32,1251.51,1.1190682702195198,2835.1713985204697,22.297232,25.44107,20.53775,81.63297,6102.462206,0.45466742,0.4569683,1638.8421205282211,963.7448956943672
HUILA,AGRADO,2014,1053.42,1277.71,1116.64,1.060014049476942,2912.410488128662,21.607004,22.17154,20.270416,84.34809,6092.794563,0.46405664,0.47121492,1521.0288738012314,963.7448956943672
HUILA,AGRADO,2015,1136.55,1298.47,1229.81,1.0820553429237605,2451.4921814203262,22.073069,23.229156,20.531158,81.37574,6033.374469,0.45960364,0.4637445,1566.1477562189102,963.7448956943672
CESAR,AGUACHICA,2012,900.0,1020.0,936.0,1.04,3108.658435678482,26.192312,28.482868,25.069635,82.69491,6792.5365222,0.4397863,0.44037652,1917.389337682724,296.0405897148262
CESAR,AGUACHICA,2011,900.0,983.95,450.0,0.5,4259.502864789963,25.322641,26.481792,24.240046,87.54069,6276.152097,0.4642161,0.46921614,1650.4947411060334,296.0405897148262
CESAR,AGUACHICA,2013,968.2,1235.04,717.442,0.741005990497831,3906.8440158069134,26.169891,28.817194,24.756353,84.131325,6699.7888904,0.44318113,0.44958624,1850.111404132843,296.0405897148262
CESAR,AGUACHICA,2024,725.85,933.62,853.49,1.1758490046152783,3346.2858856230973,27.36418,31.258747,25.09737,79.57056,6935.7775032,0.41125593,0.4166191,2096.119960212708,296.0405897148262
CESAR,AGUACHICA,2019,831.0,946.0,954.0,1.148014440433213,2567.31459068656,27.380552,30.604595,25.529058,78.19143,7148.164552,0.40818,0.4137695,2166.312900495529,296.0405897148262
CESAR,AGUACHICA,2008,960.0,960.0,576.0,0.6,3805.60007815361,25.427439,26.680231,24.33526,86.52523,6542.3249826,0.45493063,0.46024323,1728.9048197746276,296.0405897148262
CESAR,AGUACHICA,2017,869.07,959.87,572.264,0.6584786035647301,2679.99876794219,27.010544,30.602253,25.696392,78.721176,7093.3381396,0.42239836,0.4336342,2103.7966001033783,296.0405897148262
CESAR,AGUACHICA,2010,900.0,900.0,450.0,0.5,4350.010497903824,25.784948,28.340387,23.977154,87.12018,6254.2987464,0.45459113,0.45777765,1673.9456644535064,296.0405897148262
CESAR,AGUACHICA,2009,960.0,960.0,576.0,0.6,3499.6947397232057,26.015955,26.74737,25.36734,86.085976,6697.6654608,0.46067786,0.46612015,1796.0014600276947,296.0405897148262
CESAR,AGUACHICA,2018,835.41,935.96,519.363,0.6216863575968687,3097.0772546648977,26.842031,29.589314,25.625055,79.01869,7115.940713399999,0.4184827,0.42957687,2100.29619140625,296.0405897148262
CESAR,AGUACHICA,2007,960.0,960.0,540.0,0.5625,4304.371242266893,25.989723,29.570368,24.451374,83.37548,6594.7878818,0.4364909,0.4431254,1851.8087443828583,296.0405897148262
CESAR,AGUACHICA,2023,682.77,867.04,621.58,0.9103797764986746,2580.282978206873,27.071657,29.167583,25.990973,80.61381,7064.5499472,0.41378328,0.4214836,2038.3554649353027,296.0405897148262
CESAR,AGUACHICA,2021,886.54,996.8,806.75,0.9099984208270356,3777.936070603133,26.631094,30.720661,25.088287,79.925316,6847.214643,0.419546,0.4260572,2035.4176618099211,296.0405897148262
