Departamento,Municipio,Año,Área Cosechada,Área Sembrada,Producción,Rendimiento,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),Humedad volumétrica media anual del suelo capa 1 (m³/m³),Humedad volumétrica media anual del suelo capa 2 (m³/m³),Evaporación potencial acumulada anual (mm/año),SPI3_mean_anual,SPI3_min_anual,SPI3_meses_bajo_m1,SPI6_mean_anual,SPI6_min_anual,SPI6_meses_bajo_m1,SPI12_mean_anual,SPI12_min_anual,SPI12_meses_bajo_m1,SPI3_dic,SPI6_dic,SPI12_dic,SPI1_floracion,SPI3_floracion,SPI1_llenado,SPI3_llenado,altitud_media_m,Rendimiento_lag1,Rendimiento_lag2,Rendimiento_lag3,Rendimiento_rolling3,Rendimiento_vs_media_mun
CUNDINAMARCA,SAN FRANCISCO,2023,393.8,436.96,451.5,1.1465210766886744,2969.5439690351486,15.945323,17.440826,14.478668,88.094696,6411.283960000001,0.4049708,0.40541458,2336.4653651714325,-0.0808810698034238,-1.9846503322160096,2.0,-0.0337452443247889,-1.5431922069851534,4.0,0.3249579715039047,-0.2020151917904631,0.0,0.2189513230586855,-1.235627182922225,-0.2020151917904631,-0.2286823360084409,-0.7810292250270904,-0.3338545911080458,0.4167360635230712,2160.250416738066,0.9522924095771778,1.0,1.1485355648535565,1.0336093248102447,-0.018289329381265707
CUNDINAMARCA,SAN FRANCISCO,2024,354.14,428.65,504.08,1.423391878917942,2479.234983086586,16.371714,17.264801,14.889557,87.434395,6484.167086,0.3963337,0.39639154,2383.347949028015,-0.7507137490995112,-2.107143269104368,6.0,-1.1491526176973974,-1.5041508247438593,7.0,-1.6470238559508532,-2.132925812448329,10.0,0.3163456412224639,-1.2942443023939951,-1.6924892301887875,-0.9674780455165842,-1.6806950581500937,-0.0279707064616636,0.1604022315284222,2160.250416738066,1.1465210766886744,0.9522924095771778,1.0,1.0329378287552842,0.16558996492257028
CUNDINAMARCA,SAN JUAN DE RIOSECO,2008,2741.24,3025.15,2095.88,0.7645736965752726,3239.3065589666367,21.12145,21.670563,20.505768,78.047295,5975.233706999999,0.38478407,0.3831202,2706.1395225524902,0.2347698760951101,-1.614645224612478,3.0,0.3819585268324212,-1.3997583773699576,2.0,0.8883926035537933,0.4307925496017371,0.0,-0.2898888890103463,0.7557036847020896,0.8653075216620097,-0.037226622390593,0.0234401184705874,-0.0797869258536536,0.2359817660589266,945.9128185255436,0.7420332165325235,,,0.7420332165325235,0.0
CUNDINAMARCA,SAN JUAN DE RIOSECO,2009,2707.28,2996.58,2295.05,0.8477327797641914,2592.839589238167,21.782623,22.673248,21.422516,75.12694,6165.084243,0.38488007,0.3825995,2984.7023701667786,-0.1795254894036888,-1.3227883538426704,2.0,-0.1718289019402214,-0.8687507969847845,0.0,0.3786357902420088,-0.6916244337480679,0.0,-0.7803651109458375,-0.8687507969847845,-0.6916244337480679,-0.0705445108102795,-0.4108210795177294,-0.4999737283796018,-0.1386935222273122,945.9128185255436,0.7645736965752726,0.7420332165325235,,0.7533034565538981,0.011270240021374556
CUNDINAMARCA,SAN JUAN DE RIOSECO,2010,2738.97,3013.7,2291.5,0.8366283675980387,3888.907572329044,21.576792,23.927887,19.869537,78.783806,5762.740975,0.3863195,0.38519922,2639.7106244564056,0.569903282244684,-2.0180859008702696,2.0,0.6321049087431162,-1.755621961696815,3.0,0.4647566764894588,-0.9738230552021226,0.0,0.4231127501974431,1.5309663426144997,2.234430213365128,0.5695423856889971,0.2077460573557753,0.5842198279393119,0.8567007177905447,945.9128185255436,0.8477327797641914,0.7645736965752726,0.7420332165325235,0.7847798976239959,0.06295288214019545
CUNDINAMARCA,SAN JUAN DE RIOSECO,2011,2304.5,2618.76,1843.6,0.7999999999999999,3363.0661898851395,21.06955,21.923737,20.41568,80.11222,5759.434853,0.39944458,0.39961624,2547.203649520874,0.4475714193806351,-0.878012521422743,0.0,0.6609158008645437,-0.1844408233620709,0.0,1.7772017507844575,1.0487023575619487,0.0,0.3946592191523743,0.6316716908429414,1.1392050068793007,0.265021917868727,-0.0008783502147695,0.5277381279882789,0.6721015911354655,945.9128185255436,0.8366283675980387,0.8477327797641914,0.7645736965752726,0.8163116146458341,0.03888635248053218
CUNDINAMARCA,SAN JUAN DE RIOSECO,2012,2710.0,2790.0,2168.0,0.8,3034.25060081482,21.413828,22.165436,20.916412,75.18312,6070.674628,0.391147,0.38994154,2907.0509049892426,0.2791569854421832,-0.7881137350149535,0.0,0.4372599531669952,-0.1819736619034087,0.0,0.9964291894056356,0.395846162971557,0.0,-0.1933879041961005,-0.0452363197386649,0.395846162971557,0.1038435210409014,-0.0893164499083613,-0.0882366221948784,0.3691045970035886,945.9128185255436,0.7999999999999999,0.8366283675980387,0.8477327797641914,0.8281203824540766,0.001806387905994744
CUNDINAMARCA,SAN JUAN DE RIOSECO,2013,2236.31,2544.05,1147.22,0.5129968564286704,3227.8267354667187,21.6952,23.00772,20.844635,75.44281,6039.223327,0.3903052,0.39070192,2891.889384508133,0.2560547307534886,-1.6989340097176864,2.0,0.3564356933057016,-0.8712274940602107,0.0,0.5666453624957133,0.2238019556949052,0.0,-0.4642809995978765,0.2932818250849944,0.839553432817013,0.709515365471721,0.0353896663992992,0.0266765305620884,0.2774126421697599,945.9128185255436,0.8,0.7999999999999999,0.8366283675980387,0.812209455866013,0.0015053232549956386
CUNDINAMARCA,SAN JUAN DE RIOSECO,2014,2178.91,2409.7,1208.63,0.5546947785819516,2729.8624526262283,21.959381,22.474518,21.121002,73.844444,6095.0831020000005,0.38059998,0.3784027,3004.0087463855743,-0.0722678083166895,-1.4422621174696906,3.0,-0.1334432878838815,-1.3516347276869238,1.0,0.0928834236640517,-0.5356714032946281,0.0,-0.1784880245612013,-0.2069737792480909,-0.34161831113886,-0.154998499501826,-0.5606001428464348,-0.2267903163102573,0.1750176594656129,945.9128185255436,0.5129968564286704,0.8,0.7999999999999999,0.7043322854762234,-0.2447124174140004
CUNDINAMARCA,SAN JUAN DE RIOSECO,2015,2190.22,2398.86,1947.19,0.8890385440731983,2746.6650083065038,22.14094,23.25528,21.098541,73.87762,6074.063539,0.3826529,0.3813273,3069.124895095825,-0.0716733692685838,-1.1865568665201955,1.0,-0.1384571916496761,-0.7352847092113053,0.0,-0.2041827238141945,-0.5438790802244093,0.0,0.0224750473892556,-0.3049927089192291,-0.2995159362865959,-0.3311970570926825,-0.5157351946089427,-0.237429234617311,0.2836383132637217,945.9128185255436,0.5546947785819516,0.5129968564286704,0.8,0.622563878336874,-0.17763768335312946
