departamento,municipio,cod_mpio,anio,Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año)
ANTIOQUIA,ARMENIA,059,2024,2046.5277139544487,21.37963,23.463043,19.2836,76.3494,6019.68109
ANTIOQUIA,BARBOSA,079,2007,2550.914103746414,16.231232,16.75772,15.229889,84.42092,6875.096772
ANTIOQUIA,BARBOSA,079,2008,2915.616201400757,15.730133,16.247711,15.2118225,86.814705,6652.482724
ANTIOQUIA,BARBOSA,079,2009,2417.962579190731,16.383331,17.627838,15.48941,84.53176,6882.281701
ANTIOQUIA,BARBOSA,079,2010,3059.797404885292,16.433157,17.757233,15.227692,86.71445,6615.361937
ANTIOQUIA,BARBOSA,079,2011,3669.112331867218,15.874786,16.636871,15.248688,87.41205,6381.80101
ANTIOQUIA,BARBOSA,079,2012,2344.4688562750816,16.290537,17.322418,15.463776,82.70102,6950.171874
ANTIOQUIA,BARBOSA,079,2013,2313.1064094901085,16.382782,16.857574,15.492096,84.2732,6874.58326
ANTIOQUIA,BARBOSA,079,2014,2144.784192889929,16.627655,18.222565,15.815582,81.98006,7004.0702225
ANTIOQUIA,BARBOSA,079,2015,1653.3339517116547,17.199594,18.39029,16.302399,78.36658,7246.220655
ANTIOQUIA,BARBOSA,079,2016,2291.532326579094,17.057281,18.256744,16.091461,82.51522,7029.021799
ANTIOQUIA,BARBOSA,079,2017,2114.746623277664,16.676138,17.585114,15.708649,81.26212,7047.267885
ANTIOQUIA,BARBOSA,079,2018,2285.5290517807007,16.637808,18.062897,15.760651,79.55547,7160.3938450000005
ANTIOQUIA,BARBOSA,079,2019,2068.7325263619423,17.133902,18.554108,16.32608,77.88333,7216.311359
ANTIOQUIA,BARBOSA,079,2020,1907.6819585561752,16.760468,17.487457,16.063873,81.35946,7219.4382000000005
ANTIOQUIA,BARBOSA,079,2021,2342.8861341178417,16.321402,16.879059,15.773346,83.8885,6849.374246
ANTIOQUIA,BARBOSA,079,2022,2252.607531309128,15.906789,16.35904,15.393219,86.70428,5103.662025
ANTIOQUIA,BARBOSA,079,2023,848.4579823315144,16.8827,18.240631,15.323883,81.8584,2244.4045235
ANTIOQUIA,BARBOSA,079,2024,2086.3328939676285,17.298737,18.203278,16.026764,81.1964,6283.344373
ANTIOQUIA,BELLO,088,2007,3891.4844574928284,14.674916,15.621979,13.970123,84.95545,6712.125847
ANTIOQUIA,BELLO,088,2008,4013.1256999969482,14.224518,14.490875,13.866608,86.85795,6502.889824
ANTIOQUIA,BELLO,088,2009,3453.1267232894897,14.833771,15.5399475,14.159576,85.298225,6742.499834
ANTIOQUIA,BELLO,088,2010,4282.744766950607,15.0590515,16.392487,13.846832,85.884544,6518.821336
ANTIOQUIA,BELLO,088,2011,4153.832644939423,14.39798,14.956207,13.91861,86.96231,6276.150353
ANTIOQUIA,BELLO,088,2012,3382.1790738105774,14.570892,14.928864,14.1024475,84.62646,6798.273099
ANTIOQUIA,BELLO,088,2013,3626.2334954738617,14.827769,15.64151,14.126862,85.00355,6739.260106
ANTIOQUIA,BELLO,088,2014,3089.9918937683105,14.971649,15.707916,14.41861,83.476494,6879.959903
ANTIOQUIA,BELLO,088,2015,2669.979126930237,15.400035,16.217682,14.865875,80.92381,7070.906592
ANTIOQUIA,BELLO,088,2016,3299.602123260498,15.555084,17.004547,14.736969,82.772545,6941.280716
ANTIOQUIA,BELLO,088,2017,3155.377516269684,15.031525,15.531647,14.518219,82.752914,6945.327798
ANTIOQUIA,BELLO,088,2018,3193.3164064884186,14.912059,15.431793,14.240143,81.92372,7052.612504
ANTIOQUIA,BELLO,088,2019,2825.757642030716,15.430776,15.820465,14.762604,80.4133,7129.354016
ANTIOQUIA,BELLO,088,2020,2935.6401534080505,15.232147,16.315338,14.626617,81.67181,7121.4221179999995
ANTIOQUIA,BELLO,088,2021,3509.862058877945,14.680206,14.967194,14.341949,85.12708,6696.008392
ANTIOQUIA,BELLO,088,2022,3179.326590180397,14.431447,14.828766,13.982086,86.7258,5012.687551
ANTIOQUIA,BELLO,088,2023,1084.3248153924942,15.272919,16.047272,13.922516,83.39419,2213.6050355
ANTIOQUIA,BELLO,088,2024,3049.8595908880234,15.803131,16.869293,14.678131,81.62223,6167.23615
ANTIOQUIA,BETANIA,091,2007,4327.840764045715,15.562286,16.14981,14.798248,89.182465,5733.292555
ANTIOQUIA,BETANIA,091,2008,4496.410146713257,15.186107,15.455719,14.974518,89.896706,5571.906148
ANTIOQUIA,BETANIA,091,2009,3982.90266084671,15.832631,16.36026,15.31192,88.48618,5768.353062
ANTIOQUIA,BETANIA,091,2010,4416.089283466339,16.00176,17.404205,14.649567,88.39722,5675.38331
ANTIOQUIA,BETANIA,091,2011,4973.878794670105,15.339711,15.921051,14.707672,90.2814,5424.060185
ANTIOQUIA,BETANIA,091,2012,4160.763671875,15.694591,16.163727,15.233307,87.00901,5948.379744
ANTIOQUIA,BETANIA,091,2013,4008.213191986084,15.890106,16.48404,15.23819,87.60413,5823.277728
ANTIOQUIA,BETANIA,091,2014,3901.1817927360535,16.07842,16.889557,15.54361,86.025795,5953.082491
ANTIOQUIA,BETANIA,091,2015,3648.80118560791,16.458954,16.95987,16.033844,84.83152,5994.812352
ANTIOQUIA,BETANIA,091,2016,3995.8905515670776,16.591543,17.765533,15.805328,85.28419,6081.384513
ANTIOQUIA,BETANIA,091,2017,4194.18205165863,16.089468,16.514069,15.477203,86.04119,6193.892180999999
ANTIOQUIA,BETANIA,091,2018,4394.752887248993,15.987905,16.3461,15.443268,86.244255,6185.496345
ANTIOQUIA,BETANIA,091,2019,4074.958302974701,16.480581,16.90274,15.887604,84.11378,6318.8426340000005
ANTIOQUIA,BETANIA,091,2020,4189.047790527344,16.617563,17.49527,15.820709,83.5732,6319.830978
ANTIOQUIA,BETANIA,091,2021,4479.965637207031,16.052927,16.348785,15.631744,87.636665,5863.246568
ANTIOQUIA,BETANIA,091,2022,3416.4790976047516,15.72995,16.34439,15.226227,89.13889,4387.56804
ANTIOQUIA,BETANIA,091,2023,2124.3216185569763,16.536917,17.303131,15.2135315,86.29734,1878.7794135
ANTIOQUIA,BETANIA,091,2024,4123.716529846191,16.995676,18.078278,15.781647,84.862976,5308.264903
ANTIOQUIA,BETULIA,093,2007,2481.1124552090964,18.07216,19.1669,16.923899,82.337036,6181.200446333333
ANTIOQUIA,BETULIA,093,2008,2596.9771315256753,17.39319,17.761057,17.042063,86.52445,6029.306656
ANTIOQUIA,BETULIA,093,2009,2066.99063094457,18.366377,19.480703,17.38093,81.250885,6259.769366666666
ANTIOQUIA,BETULIA,093,2010,2523.0729236006737,18.45445,20.465567,16.665192,82.15151,6127.967488
ANTIOQUIA,BETULIA,093,2011,3028.955518404643,17.566381,18.469635,16.791656,86.08201,5870.1086196666665
ANTIOQUIA,BETULIA,093,2012,2140.8839172124863,18.113102,19.207998,17.306875,81.43065,6356.795459666667
ANTIOQUIA,BETULIA,093,2013,2264.178359270096,18.535017,19.444244,17.339102,79.26764,6291.375796666666
ANTIOQUIA,BETULIA,093,2014,2116.6386652588844,18.816538,20.39802,17.724762,77.198296,6459.2954236666665
ANTIOQUIA,BETULIA,093,2015,1698.8794069886208,19.347082,20.30362,18.10611,74.47503,6546.567906666667
ANTIOQUIA,BETULIA,093,2016,2325.0592687527337,19.298681,20.85082,17.892569,77.30561,6566.23395
ANTIOQUIA,BETULIA,093,2017,2197.376134554545,18.78847,19.781647,17.921865,77.43295,6641.264454
ANTIOQUIA,BETULIA,093,2018,2238.9531114498773,18.812883,19.910553,18.03897,76.05056,6690.750847333334
ANTIOQUIA,BETULIA,093,2019,2089.411453525225,19.411787,20.332428,18.56664,73.701164,6818.916894
ANTIOQUIA,BETULIA,093,2020,2136.3722976843515,19.324377,20.580557,17.987375,73.667404,6750.331328666667
ANTIOQUIA,BETULIA,093,2021,2382.6399323940277,18.503828,19.194815,17.715078,79.4089,6284.930928666667
ANTIOQUIA,BETULIA,093,2022,1999.6630980173748,17.96221,18.842682,17.213205,83.33538,4711.821926333334
ANTIOQUIA,BETULIA,093,2023,902.9430523415407,19.047821,20.485422,17.411448,78.43213,2063.0632095
ANTIOQUIA,BETULIA,093,2024,2115.1096492161355,19.622467,21.409006,17.68464,76.48494,5751.124903333333
ANTIOQUIA,CAICEDO,125,2007,2780.5690081119537,14.703725,15.354401,13.829498,82.852036,6045.542053
ANTIOQUIA,CAICEDO,125,2008,2769.0636134147644,14.144765,14.471344,13.761627,86.46878,5967.725741
ANTIOQUIA,CAICEDO,125,2009,2450.869677066803,14.935985,15.647369,14.085358,82.28617,6137.480004
ANTIOQUIA,CAICEDO,125,2010,2944.574045419693,15.1319685,16.572174,13.792389,82.72698,5963.848696
ANTIOQUIA,CAICEDO,125,2011,3142.630683660507,14.353709,14.949127,13.78775,85.93579,5806.917469
ANTIOQUIA,CAICEDO,125,2012,2400.099441766739,14.613698,15.220367,14.000885,82.70691,6205.482953
ANTIOQUIA,CAICEDO,125,2013,2566.3365478515625,15.022267,15.689117,14.134674,80.79437,6132.874032
ANTIOQUIA,CAICEDO,125,2014,2497.8296506404877,15.138967,15.959869,14.522125,79.69016,6302.873645
ANTIOQUIA,CAICEDO,125,2015,2075.601772069931,15.552704,16.258698,14.908844,77.70883,6415.924446
ANTIOQUIA,CAICEDO,125,2016,2591.9676718711853,15.648183,16.910797,14.6354065,80.090935,6385.624249
ANTIOQUIA,CAICEDO,125,2017,2399.9858503341675,15.189403,15.732819,14.442047,78.826584,6500.535605
ANTIOQUIA,CAICEDO,125,2018,2357.749812602997,15.128367,15.625153,14.466705,77.90253,6574.705287000001
ANTIOQUIA,CAICEDO,125,2019,2268.9747381210327,15.643504,16.1232,14.95401,76.249756,6659.648428
ANTIOQUIA,CAICEDO,125,2020,1808.4258065223694,15.700409,16.59488,14.750397,75.24379,6614.793304
ANTIOQUIA,CAICEDO,125,2021,2030.2883958816528,15.086619,15.558746,14.513824,79.934235,6188.584692
ANTIOQUIA,CAICEDO,125,2022,1907.7894480228424,14.753876,15.635651,14.191071,84.320076,4662.039665
ANTIOQUIA,CAICEDO,125,2023,787.2661603689194,15.902476,17.068756,14.235016,79.71379,2062.2305415
ANTIOQUIA,CAICEDO,125,2024,1916.818041563034,16.47761,17.877106,14.982819,77.596794,5656.2261340000005
ANTIOQUIA,CALDAS,129,2007,3649.252471923828,15.375438,16.006744,14.74942,84.976135,6717.660803
ANTIOQUIA,CALDAS,129,2008,3776.17022562027,14.947011,15.231354,14.619049,86.734566,6473.333952
ANTIOQUIA,CALDAS,129,2009,3180.1405816078186,15.586375,16.307526,14.841217,85.04679,6721.9558400000005
ANTIOQUIA,CALDAS,129,2010,3748.9597477912903,15.78301,17.141998,14.585114,85.70376,6571.270228
ANTIOQUIA,CALDAS,129,2011,3837.758892059326,15.129588,15.598785,14.664703,86.77219,6242.553735
ANTIOQUIA,CALDAS,129,2012,3022.5891880989075,15.352468,15.77066,14.887604,84.10491,6817.149503
ANTIOQUIA,CALDAS,129,2013,3380.844470024109,15.62204,16.481354,14.954987,84.40563,6767.299752
ANTIOQUIA,CALDAS,129,2014,2886.0992166996,15.783986,16.5419,15.274078,82.79058,6901.983727
ANTIOQUIA,CALDAS,129,2015,2313.154919862747,16.18096,16.98526,15.706696,80.13827,7060.417824
ANTIOQUIA,CALDAS,129,2016,3014.0675053596497,16.318268,17.445953,15.524078,82.45344,6992.578404
ANTIOQUIA,CALDAS,129,2017,2780.0724980831146,15.792918,16.266022,15.319,82.609436,6962.095216
ANTIOQUIA,CALDAS,129,2018,2883.0879209041595,15.731232,16.2482,15.04483,81.384834,7041.816116
ANTIOQUIA,CALDAS,129,2019,2436.662749528885,16.23644,16.609528,15.614166,79.59725,7133.52471
ANTIOQUIA,CALDAS,129,2020,2657.091661453247,16.239634,17.262604,15.601959,80.486626,7158.012576
ANTIOQUIA,CALDAS,129,2021,3138.0729727745056,15.645213,15.932037,15.250397,84.580414,6689.104067
ANTIOQUIA,CALDAS,129,2022,2868.0443835258484,15.384247,15.742828,14.868805,86.00879,5008.751317
ANTIOQUIA,CALDAS,129,2023,1096.502617239952,16.188772,17.09024,14.78775,82.31647,2185.6352935
ANTIOQUIA,CALDAS,129,2024,2603.3696351647377,16.705963,17.845856,15.617584,80.64524,6188.963126
ANTIOQUIA,CARACOLÍ,142,2007,2951.9330028295517,23.767282,25.733307,22.006256,80.51467,7332.220544
ANTIOQUIA,CARACOLÍ,142,2008,2929.142184615135,23.146719,23.935211,22.276764,83.48496,7166.3907500000005
ANTIOQUIA,CARACOLÍ,142,2009,2957.324306488037,23.835642,25.013336,22.844147,81.82624,7290.509418
ANTIOQUIA,CARACOLÍ,142,2010,3383.0699242949486,23.658255,25.233307,21.799957,84.080574,6957.840804
