Precipitación acumulada anual (mm/año),Temperatura media anual (°C),Máximo de la temperatura media mensual (°C),Mínimo de la temperatura media mensual (°C),Humedad relativa media anual (%),Radiación solar acumulada anual (MJ/m²/año),altitud_media_m,SPI1_floracion,SPI1_llenado,Rendimiento_lag1,Departamento,Municipio,Año,Rendimiento
4418.234257380168,13.394738,13.905345,12.823232,92.44781,5221.546145,2438.3329017291508,-0.3004795657665129,-1.0822754014730684,0.8426693605894936,NARINO,MALLAMA,2018,0.8618820912124582
4398.451193610827,13.803517,14.286366,13.160309,91.5621,5185.967449666667,2438.3329017291508,0.1676076015359799,0.5700930651365276,0.8618820912124582,NARINO,MALLAMA,2019,1.275
4270.069998621941,13.476166,14.1301985,12.622304,93.22574,5260.837974,2438.3329017291508,-0.5239706415894673,1.4507938006310883,1.275,NARINO,MALLAMA,2020,1.205128205128205
5168.1006449063625,13.06778,13.477855,12.632884,94.07596,5050.952341333334,2438.3329017291508,0.0086091314772032,1.3758148610006096,1.205128205128205,NARINO,MALLAMA,2021,0.9099485420240138
4898.5871853033705,12.72936,13.273997,12.29247,94.78211,5106.6083733333335,2438.3329017291508,-0.3174727202820565,0.7174725774891552,0.9099485420240138,NARINO,MALLAMA,2022,0.5007568113017155
4789.469376206398,13.55223,14.252594,12.22932,92.402794,5065.067112666667,2438.3329017291508,0.0563922210434326,0.9470650682699984,0.5007568113017155,NARINO,MALLAMA,2023,0.5063543483678046
4105.3678374489145,13.91886,14.487457,12.849518,91.3713,5405.801933,2438.3329017291508,-0.4176431842860759,0.6498190699995176,0.5063543483678046,NARINO,MALLAMA,2024,0.6313342631334262
5244.961261332035,13.193607,13.656891,12.703441,93.50529,5035.050599333334,2438.3329017291508,0.475038581204345,-1.0470308246255744,,NARINO,MALLAMA,2025,
4612.4249875204905,25.027725,25.791239,24.210184,85.556366,4811.161308142857,20.29738082428904,-0.6332711918855312,-0.3024675423087327,,NARINO,MOSQUERA,2007,
5203.986387525286,24.809416,25.315756,24.247711,86.80877,4894.050776714285,20.29738082428904,0.1035254186541323,0.4576179523682421,,NARINO,MOSQUERA,2008,
3701.0373159817286,25.249817,25.714647,24.619642,85.50412,5161.904227714285,20.29738082428904,-1.4362721416208275,-0.1983920921714838,,NARINO,MOSQUERA,2009,
5034.659080982208,25.228636,26.144962,23.926596,86.33176,4553.850308428571,20.29738082428904,-0.6738949261826319,1.7343829122310823,,NARINO,MOSQUERA,2010,
4155.156940868923,24.971916,25.72267,24.27659,85.7601,4970.392164142857,20.29738082428904,-0.0774010502395576,0.6797979741768087,,NARINO,MOSQUERA,2011,
4194.473084586007,25.101885,25.72288,24.379513,85.61795,5212.521907,20.29738082428904,-1.2539735266598817,-0.841818652310183,,NARINO,MOSQUERA,2012,
3944.583726814815,25.116995,25.588427,24.735819,85.71835,4906.867364571429,20.29738082428904,-0.5012445309059179,-1.0724353441462475,,NARINO,MOSQUERA,2013,
5177.468377249582,25.312477,25.916622,24.949127,86.87622,4962.391254571428,20.29738082428904,0.221193294613615,0.6180189813384129,,NARINO,MOSQUERA,2014,
5227.102616855076,25.772415,26.286041,25.105272,87.13175,5238.924404285714,20.29738082428904,0.5122180941944504,0.8034606368701022,,NARINO,MOSQUERA,2015,
4172.229251010077,25.618637,26.371979,24.892557,85.814354,5169.239264714286,20.29738082428904,-0.6273547751536582,1.2712459940120606,,NARINO,MOSQUERA,2016,
4958.80212191173,25.519331,26.14165,24.774183,85.769356,5093.383303285715,20.29738082428904,0.2350710678244534,-0.4694216251203029,,NARINO,MOSQUERA,2017,
4883.633582557951,25.398626,25.794098,24.912052,85.69027,5198.189257428571,20.29738082428904,-1.348254316123341,1.379544726641892,,NARINO,MOSQUERA,2018,
4741.37531709671,25.702454,26.134464,25.101156,85.55997,5174.837294857143,20.29738082428904,0.4486275882649541,-0.2078638322860329,,NARINO,MOSQUERA,2019,
4144.064828872681,25.531609,26.13736,24.699545,84.86652,5242.598787428571,20.29738082428904,-0.7600070652441715,1.7364253627746835,,NARINO,MOSQUERA,2020,
4866.131619725908,25.303339,25.750082,24.781088,85.601204,4969.889456,20.29738082428904,0.1819503673424369,-0.2325183611786515,,NARINO,MOSQUERA,2021,
4675.718949999128,25.023352,25.52795,24.553549,85.83776,4926.045797,20.29738082428904,-1.346663493419173,0.4186121777600344,,NARINO,MOSQUERA,2022,
5024.554030554636,25.97241,26.481493,24.707323,86.72906,5375.878425142857,20.29738082428904,-0.0482609738169907,1.29252949239767,,NARINO,MOSQUERA,2023,
3639.339835030692,26.08885,26.928165,25.299957,84.216896,5575.546008714286,20.29738082428904,-1.9038562059776472,-0.2134662622119835,,NARINO,MOSQUERA,2024,
4507.346894911358,25.591501,26.294586,25.062723,85.58707,5138.185765285714,20.29738082428904,-0.8776137723025534,-1.5608459484141344,,NARINO,MOSQUERA,2025,
5155.706494603838,24.811836,25.593973,23.986132,87.41232,4653.6828752857145,23.51659312898364,-0.7363561496781399,-0.485358351285602,,NARINO,OLAYA HERRERA,2007,
5826.260101182121,24.57997,25.030321,24.027287,88.61465,4744.542203285714,23.51659312898364,0.0807286202189956,0.3582571849188931,,NARINO,OLAYA HERRERA,2008,
4255.154235839844,25.06427,25.50371,24.386105,87.143684,4960.685866571428,23.51659312898364,-1.472208603826014,-0.3740905352971764,,NARINO,OLAYA HERRERA,2009,
5717.910443305969,25.017141,25.88157,23.696127,88.02955,4433.691686428571,23.51659312898364,-0.8262302696437278,1.7335260363789255,,NARINO,OLAYA HERRERA,2010,
4627.306747709002,24.738611,25.462067,24.031332,87.57436,4818.635214142857,23.51659312898364,-0.1081185333466429,0.6159017628281329,,NARINO,OLAYA HERRERA,2011,
4915.043981279646,24.902367,25.49241,24.119747,87.33732,5033.800193285714,23.51659312898364,-1.4519316755974527,-0.8307200651068111,,NARINO,OLAYA HERRERA,2012,
4433.593076569693,24.92138,25.359074,24.53632,87.47767,4718.360392,23.51659312898364,-0.6143770190243568,-1.2542159496012788,,NARINO,OLAYA HERRERA,2013,
5752.753520148141,25.095078,25.72382,24.731215,88.58637,4778.859963142857,23.51659312898364,0.202131809166676,0.5670369969941974,,NARINO,OLAYA HERRERA,2014,
5817.599953583309,25.55613,26.037157,24.93814,88.77897,5047.810178000001,23.51659312898364,0.525850782028168,0.722019157208082,,NARINO,OLAYA HERRERA,2015,
4656.429248707635,25.432693,26.254513,24.777323,87.52698,4955.979988428571,23.51659312898364,-0.513406050284011,0.8003593207486002,,NARINO,OLAYA HERRERA,2016,
5547.896830422537,25.332085,25.933502,24.642208,87.349915,4975.429245285714,23.51659312898364,0.2693108671821799,-0.6434200019399895,,NARINO,OLAYA HERRERA,2017,
5397.649441923414,25.19192,25.54047,24.70223,87.479095,5041.861088428572,23.51659312898364,-1.3965282462813524,1.0889234424489067,,NARINO,OLAYA HERRERA,2018,
5321.535222053528,25.527115,25.985853,24.849483,87.072334,5008.304992857143,23.51659312898364,0.3799865582843441,-0.2616281493951474,,NARINO,OLAYA HERRERA,2019,
4643.798102855682,25.355455,26.005802,24.519579,86.60379,5057.014936285715,23.51659312898364,-0.8949198368916085,1.549539146720292,,NARINO,OLAYA HERRERA,2020,
5557.819603988102,25.074778,25.500223,24.552572,87.517265,4829.852601285715,23.51659312898364,0.193440314897704,-0.3556920669486099,,NARINO,OLAYA HERRERA,2021,
4998.073182446616,24.804926,25.243282,24.299086,87.66025,4777.894501571429,23.51659312898364,-1.5504999793710748,0.2925895271031107,,NARINO,OLAYA HERRERA,2022,
5668.809331621443,25.71734,26.203033,24.443094,88.439514,5213.911244857143,23.51659312898364,-0.0899412347499194,1.385899077639839,,NARINO,OLAYA HERRERA,2023,
4126.201712608337,25.886816,26.720297,25.162401,85.99236,5389.831983857143,23.51659312898364,-1.9509257038110503,-0.3975388907111517,,NARINO,OLAYA HERRERA,2024,
5156.836040633066,25.354128,25.991573,24.824232,87.54746,4985.358453571429,23.51659312898364,-0.7789500248367618,-1.926927656791113,,NARINO,OLAYA HERRERA,2025,
2663.538821167416,10.839511,11.868181,10.084381,88.31195,6582.258543777778,2982.025502813148,-0.754050298734759,0.8268113451398735,,NARINO,PASTO,2007,1.4444444444444444
3213.8020890553794,10.505293,10.750017,9.982873,90.487366,6295.428098666667,2982.025502813148,-0.7633795840766464,1.0983004544337076,1.4444444444444444,NARINO,PASTO,2008,1.4
